time,target,y,error,steer
4.128,0.5000,0.5419,0.5000,-0.0898
4.160,0.5000,0.5425,0.5000,-0.0903
4.192,0.5000,0.5430,0.5000,-0.0908
4.224,0.5000,0.5435,0.5000,-0.0912
4.256,0.5000,0.5440,0.5000,-0.0917
4.288,0.5000,0.5445,0.5000,-0.0922
4.320,0.5000,0.5450,0.5000,-0.0926
4.352,0.5000,0.5454,0.5000,-0.0931
4.384,0.5000,0.5459,0.5000,-0.0935
4.416,0.5000,0.5464,0.5000,-0.0939
4.448,0.5000,0.5469,0.5000,-0.0943
4.480,0.5000,0.5473,0.5000,-0.0947
4.512,0.5000,0.5478,0.5000,-0.0951
4.544,0.5000,0.5482,0.5000,-0.0955
4.576,0.5000,0.5487,0.5000,-0.0959
4.608,0.5000,0.5491,0.5000,-0.0962
4.640,0.5000,0.5495,0.5000,-0.0966
4.672,0.5000,0.5500,0.5000,-0.0969
4.704,0.5000,0.5504,0.5000,-0.0973
4.736,0.5000,0.5508,0.5000,-0.0976
4.768,0.5000,0.5512,0.5000,-0.0979
4.800,0.5000,0.5516,0.5000,-0.0982
4.832,0.5000,0.5520,0.5000,-0.0985
4.864,0.5000,0.5524,0.5000,-0.0988
4.896,0.5000,0.5528,0.5000,-0.0991
4.928,0.5000,0.5532,0.5000,-0.0993
4.960,0.5000,0.5535,0.5000,-0.0996
4.992,0.5000,0.5539,0.5000,-0.0998
5.024,0.5000,0.5543,0.5000,-0.1001
5.056,0.5000,0.5546,0.5000,-0.1003
5.088,0.5000,0.5550,0.5000,-0.1005
5.120,0.5000,0.5553,0.5000,-0.1007
5.152,0.5000,0.5557,0.5000,-0.1009
5.184,0.5000,0.5560,0.5000,-0.1011
5.216,0.5000,0.5563,0.5000,-0.1013
5.248,0.5000,0.5566,0.5000,-0.1014
5.280,0.5000,0.5569,0.5000,-0.1016
5.312,0.5000,0.5573,0.5000,-0.1017
5.344,0.5000,0.5576,0.5000,-0.1019
5.376,0.5000,0.5579,0.5000,-0.1020
5.408,0.5000,0.5581,0.5000,-0.1021
